<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gold.Coin.140012,20210106,1206500.00,1213900.00,1200000.00,1206247.00,66946685900,55500,278,D,1214117.00,1207698.00
Gold.Coin.140012,20210105,1200000.00,1224000.00,1200000.00,1214117.00,98829125400,81400,327,D,1198263.00,1222100.00
Gold.Coin.140012,20210104,1189900.00,1218000.00,1189900.00,1198263.00,113475490500,94700,341,D,1167504.00,1198500.00
Gold.Coin.140012,20210103,1166998.00,1173000.00,1163600.00,1167504.00,91298812100,78200,227,D,1154731.00,1172999.00
Gold.Coin.140012,20210102,1160001.00,1160001.00,1150000.00,1154731.00,157620742200,136500,406,D,1162319.00,1154030.00
Gold.Coin.140012,20201230,1167500.00,1167500.00,1152000.00,1162319.00,129714848500,111600,229,D,1160366.00,1160000.00
Gold.Coin.140012,20201229,1169990.00,1169990.00,1152975.00,1160366.00,139708053300,120400,314,D,1170593.00,1162500.00
Gold.Coin.140012,20201228,1171043.00,1179000.00,1165000.00,1170593.00,60285533100,51500,253,D,1170951.00,1170000.00
Gold.Coin.140012,20201227,1177777.00,1178999.00,1167500.00,1170951.00,116626701300,99600,249,D,1166736.00,1175100.00
Gold.Coin.140012,20201226,1165300.00,1171700.00,1163000.00,1166736.00,101739386900,87200,226,D,1181750.00,1168000.00
Gold.Coin.140012,20201223,1184980.00,1190000.00,1175000.00,1181750.00,109784616500,92900,285,D,1159726.00,1186003.00
Gold.Coin.140012,20201222,1160000.00,1167500.00,1155558.00,1159726.00,110058035400,94900,228,D,1174085.00,1162124.00
Gold.Coin.140012,20201221,1182999.00,1182999.00,1169999.00,1174085.00,59760933900,50900,190,D,1168936.00,1172480.00
Gold.Coin.140012,20201220,1169000.00,1173998.00,1161001.00,1168936.00,102281907400,87500,237,D,1164012.00,1170790.00
Gold.Coin.140012,20201219,1169988.00,1169988.00,1150011.00,1164012.00,147596711400,126800,329,D,1188959.00,1167501.00
Gold.Coin.140012,20201216,1195997.00,1200000.00,1178000.00,1188959.00,63965990200,53800,200,D,1201833.00,1187998.00
Gold.Coin.140012,20201215,1200002.00,1212000.00,1192227.00,1201833.00,148185973500,123300,338,D,1172139.00,1200000.00
Gold.Coin.140012,20201214,1170000.00,1182999.00,1166676.00,1172139.00,139953431700,119400,385,D,1182033.00,1180000.00
Gold.Coin.140012,20201213,1174991.00,1199920.00,1170160.00,1182033.00,90425566800,76500,330,D,1213747.00,1184994.00
Gold.Coin.140012,20201212,1222332.00,1222332.00,1203000.00,1213747.00,158879429800,130900,423,D,1254421.00,1209977.00
Gold.Coin.140012,20201209,1250001.00,1265000.00,1249000.00,1254421.00,70122156900,55900,227,D,1232050.00,1264001.00
Gold.Coin.140012,20201208,1223001.00,1248400.00,1223001.00,1232050.00,157825552700,128100,514,D,1202871.00,1235100.00
Gold.Coin.140012,20201207,1189999.00,1209770.00,1189999.00,1202871.00,90095063800,74900,317,D,1188259.00,1200215.00
Gold.Coin.140012,20201206,1172111.00,1214955.00,1172111.00,1188259.00,212698457900,179000,504,D,1172521.00,1212002.00
Gold.Coin.140012,20201205,1162000.00,1180000.00,1161500.00,1172521.00,238490879500,203400,585,D,1146459.00,1171001.00
Gold.Coin.140012,20201202,1153500.00,1153500.00,1135010.00,1146459.00,228030716400,198900,648,D,1153589.00,1145000.00
Gold.Coin.140012,20201201,1153589.00,1153589.00,1153589.00,1153589.00,192187927400,166600,216,D,1098657.00,1153589.00
Gold.Coin.140012,20201130,1098657.00,1098657.00,1098657.00,1098657.00,43067354400,39200,53,D,1048098.00,1098657.00
Gold.Coin.140012,20201129,1053000.00,1071999.00,1042007.00,1048098.00,160673386900,153300,593,D,1059110.00,1069900.00
Gold.Coin.140012,20201128,1068500.00,1070000.00,1055001.00,1059110.00,182484622500,172300,501,D,1070460.00,1057000.00
Gold.Coin.140012,20201125,1080000.00,1086000.00,1060000.00,1070460.00,135627323500,126700,483,D,1093734.00,1068500.00
Gold.Coin.140012,20201124,1109994.00,1109994.00,1085100.00,1093734.00,197419043000,180500,587,D,1142054.00,1094000.00
Gold.Coin.140012,20201123,1137100.00,1147000.00,1135000.00,1142054.00,93077377700,81500,290,D,1135444.00,1142000.00
Gold.Coin.140012,20201122,1159000.00,1159000.00,1129000.00,1135444.00,136820987600,120500,417,D,1165701.00,1133000.00
Gold.Coin.140012,20201121,1170000.00,1179990.00,1152660.00,1165701.00,149792612100,128500,408,D,1144931.00,1161001.00
Gold.Coin.140012,20201118,1158111.00,1163000.00,1131000.00,1144931.00,239519625400,209200,623,D,1186779.00,1144319.00
Gold.Coin.140012,20201117,1197800.00,1200000.00,1152000.00,1186779.00,83549227000,70400,304,D,1213482.00,1190000.00
Gold.Coin.140012,20201116,1200003.00,1234500.00,1200003.00,1213482.00,199011007300,164000,465,D,1213604.00,1233000.00
Gold.Coin.140012,20201115,1230000.00,1240000.00,1206818.00,1213604.00,120268157300,99100,290,D,1275581.00,1206818.00
Gold.Coin.140012,20201114,1291000.00,1298999.00,1253000.00,1275581.00,166208160600,130300,367,D,1291073.00,1260000.00
Gold.Coin.140012,20201111,1270000.00,1297999.00,1270000.00,1291073.00,154283237600,119500,318,D,1308151.00,1289500.00
Gold.Coin.140012,20201110,1319000.00,1325000.00,1294886.00,1308151.00,360134008500,275300,623,D,1310406.00,1307882.00
Gold.Coin.140012,20201109,1310406.00,1310406.00,1310406.00,1310406.00,205078539000,156500,195,D,1248006.00,1310406.00
Gold.Coin.140012,20201108,1248006.00,1248006.00,1248006.00,1248006.00,128295016800,102800,219,D,1313690.00,1248006.00
Gold.Coin.140012,20201107,1313690.00,1313690.00,1313690.00,1313690.00,8670354000,6600,12,D,1382831.00,1313690.00
Gold.Coin.140012,20201104,1382831.00,1382831.00,1382831.00,1382831.00,25582373500,18500,35,D,1316982.00,1382831.00
Gold.Coin.140012,20201102,1316982.00,1316982.00,1316982.00,1316982.00,251806958400,191200,163,D,1256521.00,1316982.00
Gold.Coin.140012,20201101,1269875.00,1275000.00,1239258.00,1256521.00,277314225800,220700,548,D,1238822.00,1249898.00
Gold.Coin.140012,20201031,1238334.00,1249000.00,1238334.00,1238822.00,265355762800,214200,384,D,1305101.00,1238334.00
Gold.Coin.140012,20201028,1327000.00,1327000.00,1295002.00,1305101.00,315834448200,242000,587,D,1343131.00,1296998.00
Gold.Coin.140012,20201027,1335111.00,1352000.00,1335000.00,1343131.00,237734253100,177000,416,D,1334702.00,1338000.00
Gold.Coin.140012,20201026,1348000.00,1348000.00,1334008.00,1334702.00,145749465600,109200,276,D,1405632.00,1334008.00
Gold.Coin.140012,20201024,1419501.00,1425000.00,1390000.00,1405632.00,330042399100,234800,639,D,1392301.00,1407900.00
Gold.Coin.140012,20201021,1370000.00,1421000.00,1370000.00,1392301.00,222628984800,159900,534,D,1373713.00,1382333.00
Gold.Coin.140012,20201020,1373713.00,1373713.00,1373713.00,1373713.00,321311470700,233900,347,D,1444557.00,1373713.00
Gold.Coin.140012,20201019,1450000.00,1480000.00,1428500.00,1444557.00,542864398000,375800,753,D,1495366.00,1444900.00
Gold.Coin.140012,20201018,1580000.00,1580000.00,1469633.00,1495366.00,595454648100,398200,911,D,1548634.00,1499999.00
Gold.Coin.140012,20201014,1574000.00,1574000.00,1531201.00,1548634.00,340234993100,219700,553,D,1602736.00,1554000.00
Gold.Coin.140012,20201013,1600000.00,1618499.00,1590000.00,1602736.00,283684231800,177000,520,D,1553683.00,1605000.00
Gold.Coin.140012,20201012,1568000.00,1568000.00,1537000.00,1553683.00,384225706200,247300,603,D,1553483.00,1564001.00
Gold.Coin.140012,20201011,1554139.00,1554139.00,1541000.00,1553483.00,342387597800,220400,304,D,1480133.00,1554139.00
Gold.Coin.140012,20201010,1480133.00,1480133.00,1480133.00,1480133.00,49288428900,33300,53,D,1412232.00,1480133.00
Gold.Coin.140012,20201007,1425900.00,1425900.00,1390100.00,1412232.00,132608566900,93900,326,D,1439906.00,1422000.00
Gold.Coin.140012,20201006,1469999.00,1469999.00,1415001.00,1439906.00,235424575200,163500,509,D,1409321.00,1425900.00
Gold.Coin.140012,20201005,1411293.00,1411293.00,1400000.00,1409321.00,329922132800,234100,507,D,1347468.00,1406121.00
Gold.Coin.140012,20201004,1356000.00,1368100.00,1343581.00,1347468.00,163717390500,121500,346,D,1427060.00,1343581.00
Gold.Coin.140012,20201003,1440000.00,1455000.00,1400103.00,1427060.00,316379290500,221700,591,D,1397434.00,1411909.00
Gold.Coin.140012,20200930,1370000.00,1408250.00,1360099.00,1397434.00,310370130800,222100,503,D,1341729.00,1408250.00
Gold.Coin.140012,20200929,1365000.00,1365000.00,1335000.00,1341729.00,253989397400,189300,494,D,1334136.00,1341100.00
Gold.Coin.140012,20200928,1330000.00,1344000.00,1325000.00,1334136.00,205857187700,154300,402,D,1319243.00,1333400.00
Gold.Coin.140012,20200927,1338000.00,1338000.00,1315001.00,1319243.00,165037249500,125100,422,D,1332550.00,1319001.00
Gold.Coin.140012,20200926,1342000.00,1349000.00,1300020.00,1332550.00,169500417600,127200,466,D,1328662.00,1308000.00
Gold.Coin.140012,20200923,1329000.00,1355000.00,1314001.00,1328662.00,306256552000,230500,510,D,1305538.00,1339000.00
Gold.Coin.140012,20200922,1306000.00,1319998.00,1293000.00,1305538.00,165019968100,126400,477,D,1303884.00,1309000.00
Gold.Coin.140012,20200921,1319500.00,1322980.00,1286000.00,1303884.00,362219090600,277800,637,D,1299329.00,1290002.00
Gold.Coin.140012,20200920,1299329.00,1299329.00,1299329.00,1299329.00,66915443500,51500,43,D,1237457.00,1299329.00
Gold.Coin.140012,20200919,1237457.00,1237457.00,1237457.00,1237457.00,23016700200,18600,28,D,1225205.00,1237457.00
Gold.Coin.140012,20200916,1225205.00,1225205.00,1225205.00,1225205.00,980164000,800,4,D,1213075.00,1225205.00
Gold.Coin.140012,20200915,1213075.00,1213075.00,1213075.00,1213075.00,4973607500,4100,16,D,1201065.00,1213075.00
Gold.Coin.140012,20200914,1201065.00,1201065.00,1201065.00,1201065.00,2041810500,1700,8,D,1189174.00,1201065.00
Gold.Coin.140012,20200913,1189174.00,1189174.00,1189174.00,1189174.00,594587000,500,3,D,1177400.00,1189174.00
Gold.Coin.140012,20200912,1177400.00,1177400.00,1177400.00,1177400.00,1530620000,1300,7,D,1165743.00,1177400.00
Gold.Coin.140012,20200909,1165743.00,1165743.00,1165743.00,1165743.00,37770073200,32400,15,D,1154201.00,1165743.00
Gold.Coin.140012,20200908,1154201.00,1154201.00,1154201.00,1154201.00,3347182900,2900,9,D,1142711.00,1154201.00
Gold.Coin.140012,20200907,1142849.00,1142849.00,1136001.00,1142711.00,443714811500,388300,397,D,1131534.00,1142849.00
Gold.Coin.140012,20200906,1131534.00,1131534.00,1131534.00,1131534.00,31682952000,28000,30,D,1120331.00,1131534.00
